%eval_id interface x1             x2             x3             x4             x5             x6             obj_fn         
170      NO_ID      0.9155065593   0.6845362133   0.07434587497  -0.8628627894  0.2929695208   0.006393774    7362.328089    
171      NO_ID      0.7277166589   -0.3392918386  0.85182547     -0.335593627   -0.8366477284  0.4116931975   2123.744058    
172      NO_ID      0.211230947    0.141017801    -0.6091594288  0.1718266948   0.1361289316   0.6307156008   2214.618856    
173      NO_ID      0.9265034472   0.1626645219   -0.9033046367  -0.04822523186 0.2362465262   0.1257836644   2160.597527    
174      NO_ID      0.1665363657   -0.1991370008  -0.7218251957  0.500502245    -0.1710686276  0.5737215922   2426.992199    
175      NO_ID      0.2400615812   -0.3990214921  0.766253143    -0.9828923242  -0.6932899284  0.06033727145  2348.892477    
176      NO_ID      0.3652023668   -0.4638339739  0.9566815225   -0.5534788855  -0.8736533367  0.1531854347   2393.224592    
177      NO_ID      0.6150808695   -0.132848604   -0.8085950117  0.04279383987  0.7384872208   0.7087781584   2398.775735    
178      NO_ID      0.8530812109   -0.3207313276  -0.4365000454  -0.9221285703  0.4935175355   0.08246066046  2098.699803    
179      NO_ID      0.3390392921   -0.5227366984  0.7177103682   -0.5195996892  0.6094632651   0.08002329966  4571.227198    
180      NO_ID      0.6494055591   -0.980330206   -0.5834508347  0.05678143243  0.6415311393   0.2560178501   2463.575319    
181      NO_ID      0.7580718741   -0.4019706907  -0.8782637946  -0.5248884879  -0.3985441611  0.5837278327   3704.830748    
182      NO_ID      0.4138364182   -0.9343002516  0.06593998096  0.5613891891   -0.5951314879  0.7636017759   2163.956277    
183      NO_ID      0.1286627287   -0.2414373517  0.4133622433   -0.2795398185  0.9228692484   0.9750303519   4192.008408    
184      NO_ID      0.5292811727   -0.9301075492  0.2325933304   -0.6223155865  0.9761436254   0.2514984018   3734.639491    
185      NO_ID      0.8242805792   -0.4783535889  -0.5249552766  0.6006731227   -0.7391676438  0.8426723019   2495.483764    
186      NO_ID      0.919574171    0.3634004765   0.05185430523  0.6939932335   -0.7470808325  0.2860996556   694.2722265    
187      NO_ID      0.6261221704   0.8687493822   0.5555542448   0.04864775087  -0.2035887245  0.2468404963   2241.313506    
188      NO_ID      0.5673203079   0.02273692042  0.1956517555   0.9932344208   0.874328545    0.04277158548  8389.559449    
189      NO_ID      0.5867458318   0.1327925144   0.5268038788   0.4621176063   0.7947936185   0.2058263856   7113.095838    
190      NO_ID      0.668894056    0.5493551918   0.7947200916   -0.8859898717  0.9749631344   0.0792511655   3447.589725    
191      NO_ID      0.5526109613   0.7450690237   -0.7065604886  0.5158563493   0.0848009408   0.9768559918   2744.849931    
192      NO_ID      0.2624656943   -0.08246293662 -0.117715582   -0.6754835942  -0.8260928357  0.3796804446   2548.081487    
193      NO_ID      0.6533586703   0.3812916856   0.5167997517   -0.781118213   -0.6231561378  0.8512803942   3250.587741    
194      NO_ID      0.2232851452   0.7841435019   0.182278083    0.8140946916   0.929081674    0.6411423518   7518.875021    
195      NO_ID      0.6252446835   -0.9377681611  0.9106218873   -0.6595397896  -0.2666910975  0.6612401658   2600.721232    
196      NO_ID      0.1171577402   0.9035505903   -0.5072557171  -0.1142004255  -0.1031102212  0.2660653366   2033.67544     
197      NO_ID      0.7590679196   -0.6038384063  -0.03103287815 0.2221128465   -0.9380153734  0.9288571183   2114.853457    
198      NO_ID      0.7627012788   -0.2855129053  -0.00582145454 -0.7553551968  0.2317558022   0.517847638    395.0694275    
199      NO_ID      0.1233361261   -0.4482392428  0.6515771474   -0.2846450863  0.3667223643   0.09659629438  4267.836544    
200      NO_ID      0.4559700572   0.9802991471   -0.729648979   -0.7224911835  0.4270140284   0.4836133248   4449.292597    
201      NO_ID      0.1800416782   0.5627467139   0.04341979038  -0.2013463053  -0.1051882643  0.2817654222   511.5418547    
202      NO_ID      0.1536531197   -0.670534877   -0.8046538245  -0.8694409279  0.5250100185   0.5772578491   2252.641099    
203      NO_ID      0.6601795026   0.8947131438   -0.1346716941  0.8690535387   0.2661358441   0.3115456899   4313.917632    
204      NO_ID      0.7209805546   -0.7390830704  -0.1958632112  0.4838330703   -0.5166943245  0.6451812293   1957.132876    
205      NO_ID      0.1551815401   0.2313973761   0.3730668826   -0.7189957307  -0.6342650333  0.8599081105   1556.51859     
206      NO_ID      0.6596770289   0.8392278538   -0.684107267   -0.3424722378  -0.2784053273  0.8176914186   4891.898853    
207      NO_ID      0.7225744395   -0.4739602444  -0.4644412383  0.650804472    -0.9509038298  0.1722477895   2065.92027     
208      NO_ID      0.5157273898   0.4586480831   0.7825569963   0.4916963282   -0.8455303495  0.9827754693   275.9900391    
209      NO_ID      0.489965251    -0.6187381538  -0.7417874482  -0.2079957377  -0.5645545017  0.6760921762   3274.640774    
210      NO_ID      0.2256974187   -0.3668690387  -0.2116209679  0.4765527095   0.805264838    0.8549118064   3937.956959    
